point_value,category,question,correct_answer,wrong_1,wrong_2,wrong_3
6,GOLF,Who has the most golf major championships of all-time?,Jack Nicklaus,Tiger Woods,Sam Snead,Arnold Palmer
8,GOLF,Who has the most Masters wins of all-time?,Jack Nicklaus,Tiger Woods,Sam Snead,Arnold Palmer
8,GOLF,Which player does NOT share the record for most US Open wins of all time?,Tiger Woods,Bobby Jones,Ben Hogan,Jack Nicklaus
8,GOLF,Who has the most Open Championship wins of all-time?,Harry Vardon,Peter Thomson,Tom Watson,Tiger Woods
8,GOLF,Who has the most PGA Championship wins of all-time?,Walter Hagen/Jack Nicklaus,Tiger Woods,Sam Snead,Gene Sarazen
6,GOLF,Who has the most PGA Tour wins of all-time?,Sam Snead/Tiger Woods,Jack Nicklaus,Arnold Palmer,Ben Hogan
8,GOLF,Who has the most European Tour wins of all-time?,Seve Ballesteros,Bernhard Langer,Tiger Woods,Colin Montgomerie
8,GOLF,Who has the most wins in one PGA Tour season?,Byron Nelson,Ben Hogan,Tiger Woods,Vijay Singh
4,GOLF,How many major Championships does Jack Nicklaus own?,18,15,16,12
4,GOLF,How many major Championships does Tiger Woods own?,15,14,10,18
6,GOLF,How many major Championships does Arnold Palmer own?,7,10,5,3
6,GOLF,How many major Championships does Phil Mickelson own?,6,8,5,11
6,GOLF,How many major Championships does Rory McIlroy own?,4,5,6,3
6,GOLF,How many major Championships does Brooks Koepka own?,4,3,2,6
6,GOLF,How many major Championships does Jordan Spieth own?,3,4,2,5
4,GOLF,How many major Championships does Justin Thomas own?,2,3,4,1
6,GOLF,How many major Championships does John Daly own?,2,3,4,5
6,GOLF,How many major Championships does Dustin Johnson own?,2,3,1,4
4,GOLF,How many major Championships does Rickie Fowler own?,0,1,2,3
6,GOLF,Who won the 1990 Masters?,Nick Faldo,Ray Floyd,Lanny Wadkins,Fred Couples
8,GOLF,Who won the 1991 Masters?,Ian Woosnam,Ben Crenshaw,Lanny Wadkins,Tom Watson
6,GOLF,Who won the 1992 Masters?,Fred Couples,Ray Floyd,Corey Pavin,Jeff Sluman
6,GOLF,Who won the 1993 Masters?,Bernhard Langer,Chip Beck,Steve Elkington,Tom Lehman
10,GOLF,Who won the 1994 Masters?,Jose Maria Olazabal,Tom Lehman,Larry Mize,Tom Kite
6,GOLF,Who won the 1995 Masters?,Ben Crenshaw,Davis Love III,Jay Haas,Greg Norman
6,GOLF,Who won the 1996 Masters?,Nick Faldo,Greg Norman,Phil Mickelson,Frank Nobilo
4,GOLF,Who won the 1997 Masters?,Tiger Woods,Tom Kite,Tommy Tolles,Tom Watson
8,GOLF,Who won the 1998 Masters?,Mark O'Meara,Fred Couples,David Duval,Jim Furyk
8,GOLF,Who won the 1999 Masters?,Jose Maria Olazabal,Davis Love III,Greg Norman,Bob Estes
6,GOLF,Who won the 2000 Masters?,Vijay Singh,Ernie Els,David Duval,Tiger Woods
4,GOLF,Who won the 2001 Masters?,Tiger Woods,David Duval,Phil Mickelson,Mark Calcavecchia
4,GOLF,Who won the 2002 Masters?,Tiger Woods,Retief Goosen,Phil Mickelson,Ernie Els
8,GOLF,Who won the 2003 Masters?,Mike Weir,Len Mattice,Phil Mickelson,Jim Furyk
6,GOLF,Who won the 2004 Masters?,Phil Mickelson,Ernie Els,K.J. Choi,Sergio Garcia
4,GOLF,Who won the 2005 Masters?,Tiger Woods,Chris DiMarco,Retief Goosen,Luke Donald
6,GOLF,Who won the 2006 Masters?,Phil Mickelson,Tim Clark,Fred Couples,Retief Goosen
8,GOLF,Who won the 2007 Masters?,Zach Johnson,Tiger Woods,Retief Goosen,Justin Rose
6,GOLF,Who won the 2008 Masters?,Trevor Immelman,Tiger Woods,Brandt Snedeker,Stewart Cink
6,GOLF,Who won the 2009 Masters?,Angel Cabrera,Chad Campbell,Kenny Perry,Phil Mickelson
4,GOLF,Who won the 2010 Masters?,Phil Mickelson,Lee Westwood,Anthony Kim,Tiger Woods
8,GOLF,Who won the 2011 Masters?,Charl Schwartzel,Jason Day,Adam Scott,Luke Donald
6,GOLF,Who won the 2012 Masters?,Bubba Watson,Louis Oosthuizen,Matt Kuchar,Phil Mickelson
6,GOLF,Who won the 2013 Masters?,Adam Scott,Angel Cabrera,Jason Day,Tiger Woods
6,GOLF,Who won the 2014 Masters?,Bubba Watson,Jordan Spieth,Rickie Fowler,Matt Kuchar
6,GOLF,Who won the 2015 Masters?,Jordan Spieth,Phil Mickelson,Rory McIlroy,Justin Rose
8,GOLF,Who won the 2016 Masters?,Danny Willett,Jordan Spieth,Lee Westwood,Dustin Johnson
6,GOLF,Who won the 2017 Masters?,Sergio Garcia,Matt Kuchar,Paul Casey,Justin Rose
6,GOLF,Who won the 2018 Masters?,Patrick Reed,Rickie Fowler,Jordan Spieth,Jon Rahm
4,GOLF,Who won the 2019 Masters?,Tiger Woods,Dustin Johnson,Brooks Koepka,Jason Day
4,GOLF,Who won the 2020 Masters?,Dustin Johnson,Cam Smith,Justin Thomas,Rory McIlroy
6,GOLF,Who won the 2021 Masters?,Hideki Matsuyama,Xander Schauffele,Jordan Spieth,Jon Rahm
2,GOLF,Who won the 2022 Masters?,Scottie Scheffler,Rory McIlroy,Cam Smith,Shane Lowry
