point_value,category,question,correct_answer,wrong_1,wrong_2,wrong_3
6,NFL,Who won the NFL MVP in 1994?,Steve Young,Barry Sanders,Jerry Rice,Deion Sanders
6,NFL,Who won the NFL MVP in 1995?,Brett Favre,Emmitt Smith & Barry Sanders,Jim Harbaugh,Jerry Rice
6,NFL,Who won the NFL MVP in 1996?,Brett Favre,Jerome Bettis,Michael Irvin,Terrell Davis
6,NFL,Who won the NFL MVP in 1997?,Brett Favre & Barry Sanders,Steve Young,Terrell Davis,John Elway
6,NFL,Who won the NFL MVP in 1998?,Terrell Davis,Randall Cunningham,Jamal Anderson & Jerome Bettis,Randy Moss
6,NFL,Who won the NFL MVP in 1999?,Kurt Warner,Marshall Faulk,Edgerrin James,Peyton Manning
6,NFL,Who won the NFL MVP in 2000?,Marshall Faulk,Eddie George,Rich Gannon,Donovan McNabb
6,NFL,Who won the NFL MVP in 2001?,Kurt Warner,Brett Favre,Kordell Stewart,Marshall Faulk
6,NFL,Who won the NFL MVP in 2002?,Rich Gannon,Steve McNair & Michael Vick,Brett Favre,Priest Holmes
6,NFL,Who won the NFL MVP in 2003?,Peyton Manning & Steve McNair,Jamal Lewis,Tom Brady,Ray Lewis
4,NFL,Who won the NFL MVP in 2004?,Peyton Manning,Michael Vick,Daunte Culpepper,Curtis Martin
6,NFL,Who won the NFL MVP in 2005?,Shaun Alexander,Peyton Manning,Tiki Barber,Carson Palmer
6,NFL,Who won the NFL MVP in 2006?,LaDainian Tomlinson,Drew Brees,Peyton Manning,Steven Jackson
4,NFL,Who won the NFL MVP in 2007?,Tom Brady,Brett Favre,Randy Moss,Adrian Peterson
4,NFL,Who won the NFL MVP in 2008?,Peyton Manning,Adrian Peterson,Chris Johnson,Kurt Warner
4,NFL,Who won the NFL MVP in 2009?,Peyton Manning,Drew Brees,Philip Rivers,Brett Favre
4,NFL,Who won the NFL MVP in 2010?,Tom Brady,Michael Vick,Arian Foster,Aaron Rodgers
4,NFL,Who won the NFL MVP in 2011?,Aaron Rodgers,Drew Brees,Cam Newton,Peyton Manning
6,NFL,Who won the NFL MVP in 2012?,Adrian Peterson,Peyton Manning,Calvin Johnson,Aaron Rodgers
4,NFL,Who won the NFL MVP in 2013?,Peyton Manning,Tom Brady,Drew Brees,Jamaal Charles
4,NFL,Who won the NFL MVP in 2014?,Aaron Rodgers,Tony Romo,Tom Brady,DeMarco Murray
4,NFL,Who won the NFL MVP in 2015?,Cam Newton,Tom Brady,Carson Palmer,Russell Wilson
4,NFL,Who won the NFL MVP in 2016?,Matt Ryan,Tom Brady,Aaron Rodgers,David Johnson
2,NFL,Who won the NFL MVP in 2017?,Tom Brady,Todd Gurley,Antonio Brown,DeAndre Hopkins
2,NFL,Who won the NFL MVP in 2018?,Patrick Mahomes,Drew Brees,Todd Gurley,Andrew Luck
2,NFL,Who won the NFL MVP in 2019?,Lamar Jackson,Patrick Mahomes,Michael Thomas,Christian McCaffrey
2,NFL,Who won the NFL MVP in 2020?,Aaron Rodgers,Josh Allen,Patrick Mahomes,Derrick Henry
2,NFL,Who won the NFL MVP in 2021?,Aaron Rodgers,Tom Brady,Cooper Kupp,Jonathan Taylor
2,NFL,Who won the Super Bowl in the 2021 - 2022 season?,Los Angeles Rams,Cincinnati Bengals,Tampa Bay Buccaneers,Kansas City Chiefs
2,NFL,Who won the Super Bowl in the 2020 - 2021 season?,Tampa Bay Buccaneers,Kansas City Chiefs,Baltimore Ravens,Los Angeles Rams
2,NFL,Who won the Super Bowl in the 2019 - 2020 season?,Kansas City Chiefs,San Francisco 49ers,Seattle Seahawks,Green Bay Packers
2,NFL,Who won the Super Bowl in the 2018 - 2019 season?,New England Patriots,Los Angeles Rams,New Orleans Saints,Kansas City Chiefs
2,NFL,Who won the Super Bowl in the 2017 - 2018 season?,Philadelphia Eagles,New England Patriots,Minnesota Vikings,Pittsburgh Steelers
2,NFL,Who won the Super Bowl in the 2016 - 2017 season?,New England Patriots,Atlanta Falcons,Pittsburgh Steelers,Green Bay Packers
2,NFL,Who won the Super Bowl in the 2015 - 2016 season?,Denver Broncos,Carolina Panthers,New England Patriots,Pittsburgh Steelers
2,NFL,Who won the Super Bowl in the 2014 - 2015 season?,New England Patriots,Seattle Seahawks,Denver Broncos,Indianapolis Colts
2,NFL,Who won the Super Bowl in the 2013 - 2014 season?,Seattle Seahawks,Denver Broncos,New England Patriots,Carolina Panthers
